,date,country_code_a,country_code_b,relations_score,num_verbal_coop,num_material_coop,num_verbal_conf,num_material_conf
376,2022-03-01,FRA,BLR,4.4920650976872,2,0,0,0
377,2022-03-01,GBR,BLR,-2.0620926971898967,9,0,3,12
378,2022-03-01,BLR,GRC,0.12590346973464095,4,0,0,0
379,2022-03-01,HUN,BLR,-0.17986209962091562,0,0,0,2
380,2022-03-01,BLR,IRL,2.334271800327931,2,0,0,0
381,2022-03-01,BLR,IRN,0.2801268667519763,2,0,0,0
382,2022-03-01,BLR,IRQ,0.42881693398909393,6,0,0,0
383,2022-03-01,BLR,ISR,0.5045194428898633,12,0,0,0
384,2022-03-01,JPN,BLR,-2.2024275332937027,0,0,0,3
385,2022-03-01,KAZ,BLR,-0.1439065829072484,0,0,2,0
386,2022-03-01,LKA,BLR,-0.05738552626641734,2,0,0,0
387,2022-03-01,LTU,BLR,-0.44832671635655463,4,8,0,2
388,2022-03-01,BLR,LVA,-1.4167694979020655,4,0,0,4
389,2022-03-01,BLR,MDA,-2.676006773436512,4,0,4,14
390,2022-03-01,BLR,NZL,0.31108476597024665,3,0,0,0
391,2022-03-01,BLR,POL,0.7789376817489212,76,7,2,4
392,2022-03-01,BLR,RUS,0.2635435999155066,362,53,59,89
393,2022-03-01,BLR,TUR,1.2053157310844833,13,0,0,0
394,2022-03-01,BLR,UKR,0.12131597255214535,323,57,56,142
395,2022-03-01,USA,BLR,0.5528753426609657,22,3,4,3
396,2022-03-01,BLR,WST,-1.5364723633579085,3,0,0,2
397,2022-03-01,COL,BLZ,-0.38727564677279297,4,0,0,1
398,2022-03-01,BLZ,DNK,1.0560703633294692,4,0,0,0
399,2022-03-01,BLZ,JAM,1.0230746975105827,8,0,0,0
400,2022-03-01,BLZ,RUS,0.9933071490757153,2,0,0,0
401,2022-03-01,BLZ,USA,0.44375936499506985,16,0,2,2
402,2022-03-01,BMU,CAN,0.14227761953270035,1,0,0,0
403,2022-03-01,BMU,EUR,-0.09997727711981061,2,0,2,0
404,2022-03-01,BMU,NMR,0.834420454154823,2,0,0,0
405,2022-03-01,BMU,USA,1.2994259509664696,2,1,0,0
